1;ZA5274_Varhh3rd01;3.HAUSHALTSPERSON: KONFESSION           ;Welcher Religionsgemeinschaft gehört die dritte Person im Haushalt an?;;&Dritte im Haushalt lebende Person ist nicht der Ehe-/Lebenspartner oder ein leibliches/Stief-/Adoptiv-/ Pflegekind des Befragten (Code 5-16 in hh3kin)&Keine Angabe&Weiß nicht&Nicht erhoben 1980-2000, 2004-2010, 2014-2018&B Der evangelischen Kirche (ohne Freikirchen)&C Einer evangelischen Freikirche&A Der römisch-katholischen Kirche&D Einer anderen christlichen Religionsgemeinschaft&E Einer anderen, nicht-christlichen Religionsgemeinschaft&F Keiner Religionsgemeinschaft;;church& income;church_building& geld ;
2;ZA5274_Varhh4kin;4.HAUSHALTSPERSON:VERWANDTSCHAFT Z.BEFR.;Bitte geben Sie mir den Verwandtschaftsgrad der vierten Person im Haushalt an.;&Verwandtschaftsgrad der vierten Person im Haushalt;&Datenfehler&Weniger als vier Personen im Haushalt&Keine Angabe&Verweigert&<Ab 1984:> Ehemann, Ehefrau&<Ab 1984:> Partner, Partnerin&Eigenes (leibliches) Kind (Sohn, Tochter)&Stief-, Adoptiv- und Pflegekind (Kind meines Ehemannes / meiner Ehefrau / meines Partners)&Bruder, Schwester&Stiefbruder, Stiefschwester <ab 1988: auch Adoptivgeschwister>&Eigener Enkel / eigene Enkelin&Vater, Mutter&<Ab 1990:> Stiefmutter, Stiefvater&Schwiegervater, Schwiegermutter&Schwiegersohn, Schwiegertochter&<Ab 1984:> Schwager, Schwägerin&Großvater, Großmutter&Großeltern meines Ehemannes / meiner Ehefrau / meines Partners&Andere verwandte oder verschwägerte Person (Onkel, Tante, Neffe, Nichte usw.)&Andere, mit mir nicht verwandte Person&<Bis 1982:> Ehegatte / Partner;1 - Verwandtschaftsgrad der vierten Person im Haushalt;;;
3;ZA5274_Varhh6yborn;6.HAUSH.PERSON: GEBURTSJAHR             ;Sagen Sie mir bitte jetzt, in welchem Jahr die betreffenden Personen geboren sind. ;&Geburtsjahr der sechsten Person im Haushalt;&Weniger als sechs Personen im Haushalt&Keine Angabe&Verweigert;1 - Geburtsjahr der sechsten Person im Haushalt;;;
4;ZA5274_Varhh6mborn;6.HAUSH.PERSON: GEBURTSMONAT            ;Sagen Sie mir bitte, in welchem Monat und in welchem Jahr die sechste Person im Haushalt geboren wurde?;&Geburtsmonat der sechsten Person im Haushalt;&Weniger als sechs Personen im Haushalt&Keine Angabe&Weiß nicht&Verweigert&Nicht erhoben 1980-1984&Januar&Februar&März&April&Mai&Juni&Juli&August&September&Oktober&November&Dezember;1 - Geburtsmonat der sechsten Person im Haushalt;;;
5;ZA5274_Varhh6inca;6.HAUSH.PERSON: EIGENES EINKOMMEN?      ;Sagen Sie mir bitte noch für jede Person im Haushalt, ob sie über ein eigenes Einkommen verfügt.;&Eigenes Einkommen der sechsten Person im Haushalt;&Weniger als sechs Personen im Haushalt&Keine Angabe&Nicht erhoben 1988-2018&Ja&Nein;1 - Eigenes Einkommen der sechsten Person im Haushalt;;;
6;ZA5274_Varhh7germn;7.HAUSH.PERSON DEUTSCH?                 ;Sagen Sie mir bitte noch für jede Person, ob sie die deutsche Staatsangehörigkeit besitzt? Beginnen wir wieder mit der siebten Person im Haushalt.;&Deutsche Staatsangehörigkeit der siebten Person;&Weniger als sieben Personen im Haushalt (Code 1-6 in dh04)&Keine Angabe&Nicht erhoben 1980, 1982, 1988-2018&Ja&Nein;1 - Deutsche Staatsangehörigkeit der siebten Person;;;
7;ZA5274_Varkh5de15;5.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS  ;Hat das fünftälteste Kind einen Hoch- oder Fachhochschulabschluss?;;&Keine eigenen Kinder außer Haus (Code 2, 3 in dk05), kein fünftes Kind außer Haus, fünftes Kind außer Haus ist unter 15 Jahre alt (laut Geburtsjahr in kh5yborn), kein entsprechender Schulabschluss (Code 1-3, 7 in kh5educ)&Keine Angabe&Nicht erhoben 1980-2002, 2006-2012, 2016, 2018&Ja&Nein;;;;
8;ZA5274_Varkh5rr04;GETAUFT, 5.KIND, AUSSER HAUS            ;Ist das fünftälteste Kind getauft?;;&Keine eigenen Kinder außer Haus (Code 2, 3 in dk05), kein fünftes Kind außer Haus&Keine Angabe&Nicht erhoben 1980-2000, 2004-2010, 2014-2018&Ja&Nein;;;;
9;ZA5274_Vardg03;JUGEND IN OST-WEST,INTERVIEW IN OST-WEST;;;;;;;
10;ZA5274_Varhh5mborn;5.HAUSH.PERSON: GEBURTSMONAT            ;Sagen Sie mir bitte, in welchem Monat und in welchem Jahr die fünfte Person im Haushalt geboren wurde?;&Geburtsmonat der fünften Person im Haushalt;&Datenfehler&Weniger als fünf Personen im Haushalt&Keine Angabe&Verweigert&Nicht erhoben 1980-1984&Januar&Februar&März&April&Mai&Juni&Juli&August&September&Oktober&November&Dezember;1 - Geburtsmonat der fünften Person im Haushalt;;;
11;ZA5274_Vardk09a;MIT KIND: WIEVIELE KINDER GEWUENSCHT?   ;Wie viele weitere Kinder möchten Sie haben?;;&Datenfehler&Befragter hat keine lebenden Kinder (Code 3 in dk05), keine weiteren Kinder gewünscht (Code 2 in dk08a), Befragter ist 51 Jahre oder älter (Alter = Erhebungsjahr (year) - Geburtsjahr (yborn))&Keine Angabe&Weiß nicht&Nicht erhoben 1980-1998, 2002, 2004, 2008-2012, 2016, 2018;;;;
12;ZA5274_Varkh9yborn;GEBURTSJAHR, 9.KIND, AUSSER HAUS        ;Sagen Sie mir bitte die Geburtsjahre und das Geschlecht Ihrer Kinder, die nicht hier in Ihrem Haushalt leben. Beginnen Sie bitte mit dem ältesten Kind.;&Geburtsjahr des neunten Kindes;&Keine eigenen Kinder außer Haus (Code 2, 3 in dk05), kein neuntes Kind außer Haus&Keine Angabe&Nicht erhoben 1980-1998;1 - Geburtsjahr des neunten Kindes;;;
13;ZA5274_Varkh7de15;7.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS  ;Hat das siebtälteste Kind einen Hoch- oder Fachhochschulabschluss?;;&Keine eigenen Kinder außer Haus (Code 2, 3 in dk05), kein siebtes Kind außer Haus, siebtes Kind außer Haus ist unter 15 Jahre alt (laut Geburtsjahr in kh7yborn), kein entsprechender Schulabschluss (Code 1-3, 7 in kh7educ)&Keine Angabe&Nicht erhoben 1980-2002, 2006-2012, 2016, 2018&Ja&Nein;;;;
14;ZA5274_Varkh1de15;1.KIND AUSSER HAUS: HOCHSCHULABSCHLUSS  ;Hat das älteste Kind einen Hoch- oder Fachhochschulabschluss?;;&Keine eigenen Kinder außer Haus (Code 2, 3 in dk05), erstes Kind außer Haus ist unter 15 Jahre alt (laut Geburtsjahr in kh1yborn), kein entsprechender Schulabschluss (Code 1-3, 7 in kh1educ)&Keine Angabe&Nicht erhoben 1980-2002, 2006-2012, 2016, 2018&Ja&Nein;;;;
15;ZA5274_Varkh1rd01;KONFESSION, 1.KIND, AUSSER HAUS         ;Welcher Religionsgemeinschaft gehört das älteste Kind an?;;&Keine eigenen Kinder außer Haus (Code 2, 3 in dk05)&Keine Angabe&Weiß nicht&Nicht erhoben 1980-2000, 2004-2010, 2014-2018&B Der evangelischen Kirche (ohne Freikirchen)&C Einer evangelischen Freikirche&A Der römisch-katholischen Kirche&D Einer anderen christlichen Religionsgemeinschaft&E Einer anderen, nicht-christlichen Religionsgemeinschaft&F Keiner Religionsgemeinschaft;;;;
16;ZA5274_Varkh2age;ALTER, 2.KIND, AUSSER HAUS              ;;;;;;;
17;ZA5274_Vardk07;ANZAHL DER KINDER, BEFR.                ; Haben Sie Kinder, und wenn ja - wieviele?;;&Keine Angabe&Nicht erhoben 1980, 1986-1990, 1994-2018&Keine Kinder;;;;
18;ZA5274_Vardk01;ANZAHL DER LEIBLICHEN KINDER            ;;;;;;;
19;ZA5274_Varkh1educ;1.KIND AUSSER HAUS: ALLG. SCHULABSCHLUSS;Welchen allgemeinbildenden Schulabschluss hat das älteste Kind?;;&Keine eigenen Kinder außer Haus (Code 2, 3 in dk05), erstes Kind außer Haus ist unter 15 Jahre alt (laut Geburtsjahr in kh1yborn)&Keine Angabe&Nicht erhoben 1980-2002, 2006-2012, 2016, 2018&B Schule beendet ohne Abschluss&C Volks- / Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse&D Mittlere Reife, Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse&E Fachhochschulreife (Abschluss einer Fachoberschule etc.)&F Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife)&Anderen Schulabschluss, und zwar: _______&A Noch Schüler;;;;
20;ZA5274_Varsplt12_3;FRAGEBOGENSPLIT 2012: KIRCHGANG         ;;;;;;;
21;ZA5274_Varsplt14_1;FRAGEBOGENSPLIT 2014: BERUFSERFOLG      ;;;;;;;
22;ZA5274_Varsplt16_6;FRAGEBOGENSPLIT 2016: MG13-17, MG19-23  ;;;;;;;
23;ZA5274_Vareastwest;ERHEBUNGSGEBIET (WOHNGEBIET): WEST - OST;;;&Befragte aus den alten Bundesländern / Interview auf dem Gebiet der alten Bundesrepublik (inkl. West-Berlin)&Befragte aus den neuen Bundesländern / Interview auf dem Gebiet der ehemaligen DDR (inkl. Ost-Berlin);;;;
24;ZA5274_Varcapipapi;INTERVIEW: CAPI ODER PAPI               ;;;;;;;
25;ZA5274_Varwghtptew;OST-WEST TRANSFORMATIONSGEWICHT PERSON  ;;;;;;;
26;ZA5274_Varwghthtew;OST-WEST TRANSFORMATIONSGEWICHT HAUSHALT;;;;;;;
27;ZA5274_Varsplt82;FRAGEBOGENSPLIT 1982: STIMULUSEXPERIMENT;;;;;;;
28;ZA5274_Varsplt00;FRAGEBOGENSPLIT 2000: FRABO-ERWEITERUNG ;;;;;;;
29;ZA5274_Varsplt10;FRAGEBOGENSPLIT 2010: EGOZENTR.NETZWERKE;;;;;;;
30;ZA5274_Varkh3yborn;GEBURTSJAHR, 3.KIND, AUSSER HAUS        ;Sagen Sie mir bitte die Geburtsjahre und das Geschlecht Ihrer Kinder, die nicht hier in Ihrem Haushalt leben. Beginnen Sie bitte mit dem ältesten Kind.;&Geburtsjahr des dritten Kindes;&Datenfehler&Keine eigenen Kinder außer Haus (Code 2, 3 in dk05), kein drittes Kind außer Haus& 2016 zusätzlich: keine Angabe über Anzahl der Kinder außer Haus (Code -9 in dk06)&Keine Angabe&Weiß nicht&Verweigert&Nicht erhoben 1984-1998;1 - Geburtsjahr des dritten Kindes;;;
